1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),Candidate Name (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF,GE RUNOFF %,"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",FOOTNOTES,,,,,,,,,,,,,,,,,
58,Alaska,AK,0,H8AK00124,,Sean R.,Parnell,"Parnell, Sean R.",,R,"47,891",45.19%,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Alaska,AK,0,H8AK00116,,Gabrielle,LeDoux,"LeDoux, Gabrielle",,R,"9,901",9.34%,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Alaska,AK,0,n/a,,,,,Party Votes:,R,"105,987",,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Alaska,AK,0,H8AK00108,,Ethan A.,Berkowitz,"Berkowitz, Ethan A.",,D,"39,784",58.39%,,,"142,560",44.97%,,,,,,,,,,,,,,,,,,,,,,
62,Alaska,AK,0,H6AK00144,,Diane E.,Benson,"Benson, Diane E.",,D,"28,347",41.61%,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Alaska,AK,0,n/a,,,,,Party Votes:,D,"68,131",,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Alaska,AK,0,H6AK00094,,Don R.,Wright,"Wright, Don R.",,AKI,"6,690",100.00%,,,"14,274",4.50%,,,,,,,,,,,,,,,,,,,,,,
65,Alaska,AK,0,n/a,,,,,Party Votes:,AKI,"6,690",,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Alaska,AK,0,n/a,,,Scattered,Scattered,,W,,,,,"1,205",0.38%,,,,,,,,,,,,,,,,,,,,,,
67,Alaska,AK,0,n/a,,,,,District Votes:,,"180,808",,,,"316,978",,,,,,,,,,,,,,,,,,,,,,,
68,Alaska,AK,H,n/a,,,,,Total House Votes:,,"180,808",,,,"316,978",,,,,,,,,,,,,,,,,,,,,,,
69,Alaska,AK,S,S8AK00090,,Mark,Begich,"Begich, Mark",,D,"63,747",90.82%,,,"151,767",47.77%,,,,,,,,,,,,,,,,,,,,,,
70,Alaska,AK,S,S8AK00082,,Ray,Metcalfe,"Metcalfe, Ray",,D,"5,480",7.81%,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Alaska,AK,S,S0AK00097,,Frank J.,Vondersaar,"Vondersaar, Frank J.",,D,965,1.37%,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Alaska,AK,S,n/a,,,,,Party Votes:,D,"70,192",,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Alaska,AK,S,S2AK00010,(I),Ted,Stevens,"Stevens, Ted",,R,"66,900",63.52%,,,"147,814",46.52%,,,,,,,,,,,,,,,,,,,,,,
74,Alaska,AK,S,S6AK00078,,David W.,Cuddy,"Cuddy, David W.",,R,"28,364",26.93%,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Alaska,AK,S,S8AK00124,,Vic,Vickers,"Vickers, Vic",,R,"6,102",5.79%,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Alaska,AK,S,S8AK00132,,Michael D.,Corey,"Corey, Michael D.",,R,"1,496",1.42%,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Alaska,AK,S,S8AK00108,,"Roderic H. Rick""""""oderi""",Sikma,"Sikma, Roderic H. Rick""""""ikma",",,R,1","133""",1.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Alaska,AK,S,S8AK00157,,Rich M.,Wanda,"Wanda, Rich M.",,R,732,0.69%,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Alaska,AK,S,S8AK00140,,"Gerald L. Jerry""""""erald """,Heikes,"Heikes, Gerald L. Jerry""""""eikes",",,R,599,0.57%,,,,,,,,,80,Alaska,AK,S,n/a,,,,,Party Votes:,R,105","326""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Alaska,AK,S,S0AK00105,,Bob,Bird,"Bird, Bob",,AKI,"4,216",100.00%,,,"13,197",4.15%,,,,,,,,,,,,,,,,,,,,,,
82,Alaska,AK,S,n/a,,,,,Party Votes:,AKI,"4,216",,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Alaska,AK,S,S8AK00165,,"Fredrick D. David""""""redric""",Haase,"Haase, Fredrick D. David""""""aase"," """,,LBT,"1,375",100.00%,,,"2,483",0.78%,,,,,,,,,,,,,,,,,,,,,
84,Alaska,AK,S,n/a,,,,,Party Votes:,LBT,"1,375",,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Alaska,AK,S,S4AK00115,,Ted,Gianoutsos,"Gianoutsos, Ted",,NNE,n/a,,,,"1,385",0.44%,,,,,,,,,,,,,,,,,,,,,,
86,Alaska,AK,S,n/a,,,Scattered,Scattered,,W,,,,,"1,077",0.34%,,,,,,,,,,,,,,,,,,,,,,
87,Alaska,AK,S,n/a,,,,,Total Senate Votes:,,"181,109",,,,"317,723",,,,,,,,,,,,,,,,,,,,,,,
88,American Samoa,AS,0,H0AS00018,(I),Eni F. H.,Faleomavaega,"Faleomavaega, Eni F. H.",,D,n/a,,,,"7,499",60.38%,,,,,,,,,,,,,,,,,,,,,,
89,American Samoa,AS,0,H8AS00052,,Rosie F. Tago,Lancaster,"Lancaster, Rosie F. Tago",,I,n/a,,,,570,4.59%,,,,,,,,,,,,,,,,,,,,,,
90,American Samoa,AS,0,H4AS00036,,Aumua,Amata,"Amata, Aumua",,R,n/a,,,,"4,350",35.03%,,,,,,,,,,,,,,,,,,,,,,
91,American Samoa,AS,0,n/a,,,,,District Votes:,,n/a,,,,"12,419",,,,,,,,,,,,,,,,,,,,,,,
92,American Samoa,AS,H,n/a,,,,,Total House Votes:,,n/a,,,,"12,419",,,,,,,,,,,,,,,,,,,,,,,
93,Arizona,AZ,1,H8AZ01104,,Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,"26,734",47.24%,,,"155,791",55.88%,,,,,,,,,,,,,,,,,,,,,,
94,Arizona,AZ,1,H8AZ01096,,Mary Kim,Titla,"Titla, Mary Kim",,D,"18,428",32.56%,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Arizona,AZ,1,H8AZ01070,,Howard,Shanker,"Shanker, Howard",,D,"8,056",14.23%,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Arizona,AZ,1,H8AZ01138,,Jeffrey,Brown,"Brown, Jeffrey",,D,"3,376",5.97%,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Arizona,AZ,1,n/a,,,,,Party Votes:,D,"56,594",,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Arizona,AZ,1,H2AZ01149,,Sydney,Hay,"Hay, Sydney",,R,"17,825",39.06%,,,"109,924",39.43%,,,,,,,,,,,,,,,,,,,,,,
99,Arizona,AZ,1,H8AZ01179,,Sandra L. B.,Livingstone,"Livingstone, Sandra L. B.",,R,"15,621",34.23%,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Arizona,AZ,1,H8AZ01187,,Tom,Hansen,"Hansen, Tom",,R,"7,847",17.20%,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Arizona,AZ,1,H8AZ01195,,Barry,Hall,"Hall, Barry",,R,"2,743",6.01%,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Arizona,AZ,1,H8AZ01146,,Preston,Korn,"Korn, Preston",,R,"1,596",3.50%,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Arizona,AZ,1,n/a,,,,,Party Votes:,R,"45,632",,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Arizona,AZ,1,H8AZ01120,,Brent,Maupin,"Maupin, Brent",,I,n/a,n/a,,,"9,394",3.37%,,,,,,,,,,,,,,,,,,,,,,
105,Arizona,AZ,1,H8AZ01203,,Thane,Eichenauer,"Eichenauer, Thane",,W(LBT)/LBT,43,100.00%,,,"3,678",1.32%,,,,,,,,,,,,,,,,,,,,,,
106,Arizona,AZ,1,n/a,,,,,Party Votes:,LBT,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Arizona,AZ,1,n/a,,,,,District Votes:,,"102,269",,,,"278,787",,,,,,,,,,,,,,,,,,,,,,,
108,Arizona,AZ,2,H4AZ04024,(I),Trent,Franks,"Franks, Trent",,R,"58,707",100.00%,,,"200,914",59.44%,,,,,,,,,,,,,,,,,,,,,,
109,Arizona,AZ,2,n/a,,,,,Party Votes:,R,"58,707",,,,,,,,,,,,,,,,,,,,,,,,,,,
