#,STATE,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,"LAST NAME, FIRST",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF,GE RUNOFF %,"COMBINED GE PARTY TOTALS (NY, SC)","COMBINED % (NY, SC)",Notes (See Endnotes Tab)
42,Alaska,AK,00,H6AK00185,,Eva L.,Ince,"Ince, Eva L.",,GRE,"3,620",100.00%,,,"1,819",0.78%,,,,,
43,Alaska,AK,00,,,,,,Party Votes:,GRE,"3,620",,,,,,,,,,
44,Alaska,AK,00,H6AK00219,,"William W. "Bill"""illia",Ratigan,"Ratigan, William W. "Bill"""atiga",,IPN,,,,,"1,615",0.69%,,,,,
45,Alaska,AK,00,,,,Scattered,Scattered,,W,,,,,560,0.24%,,,,,
46,Alaska,AK,00,,,,,,District Votes:,,"129,145",,,,"234,645",,,,,,
47,Alaska,AK,H,,,,,,House Votes:,,"129,145",,,,"234,645",,,,,,
48,American Samoa,AS,00,H0AS00018,(I),Eni F.H. Faleomavaega,Hunkin,"Hunkin, Eni F.H. Faleomavaega",,DEM,n/a,,,,"5,195",47.09%,,,,,1
49,American Samoa,AS,00,H4AS00036,,Amata Aumua,Coleman,"Coleman, Amata Aumua",,REP,n/a,,,,"4,493",40.72%,,,,,1
50,American Samoa,AS,00,H6AS00023,,"Muavaefaatasi Ae, Jr.",Ae,"Ae, Muavaefaatasi Ae, Jr.",,IND,n/a,,,,"1,345",12.19%,,,,,1
51,American Samoa,AS,00,,,,,,District Votes:,,,,,,"11,033",,,,,,1
52,American Samoa,AS,H,,,,,,House Votes:,,,,,,"11,033",,,,,,1
53,Arizona,AZ,S,S4AZ00030,(I),Jon ,Kyl,"Kyl, Jon ",,REP,"297,636",99.95%,,,"814,398",53.34%,,,,,
54,Arizona,AZ,S,S6AZ00159,,Michael,Aloisi,"Aloisi, Michael",,W(REP),155,0.05%,,,,,,,,,
55,Arizona,AZ,S,,,,,,Party Votes:,REP,"297,791",,,,,,,,,,
56,Arizona,AZ,S,S6AZ00142,,Jim,Pederson,"Pederson, Jim",,DEM,"214,455",,,,"664,141",43.50%,,,,,
57,Arizona,AZ,S,,,,,,Party Votes:,DEM,"214,455",,,,,,,,,,
58,Arizona,AZ,S,S6AZ00175,,Richard,Mack,"Mack, Richard",,LBT,"3,311",100.00%,,,"48,231",3.16%,,,,,
59,Arizona,AZ,S,,,,,,Party Votes:,LBT,"3,311",,,,,,,,,,
60,Arizona,AZ,S,S6AZ00183,,Stephen the Penny Man,Baker,"Baker, Stephen the Penny Man",,W,,,,,7,0.00%,,,,,
61,Arizona,AZ,S,S6AZ00191,,Ray,Caplette,"Caplette, Ray",,W,,,,,5,0.00%,,,,,
62,Arizona,AZ,S,,,,,,Senate Votes:,,"515,557",,,,"1,526,782",,,,,,
63,Arizona,AZ,01,H2AZ01172,(I),Rick,Renzi,"Renzi, Rick",,REP,"37,664",100.00%,,,"105,646",51.75%,,,,,
64,Arizona,AZ,01,,,,,,Party Votes:,REP,"37,664",,,,,,,,,,
65,Arizona,AZ,01,H6AZ00035,,Ellen,Simon,"Simon, Ellen",,DEM,"20,273",52.78%,,,"88,691",43.45%,,,,,
66,Arizona,AZ,01,H6AZ01157,,Susan,Friedman,"Friedman, Susan",,DEM,"7,062",18.39%,,,,,,,,,
67,Arizona,AZ,01,H4AZ01129,,Bob,Donahue,"Donahue, Bob",,DEM,"5,927",15.74%,,,,,,,,,
68,Arizona,AZ,01,H6AZ01132,,Mike,Caccioppoli,"Caccioppoli, Mike",,DEM,"3,635",9.65%,,,,,,,,,
69,Arizona,AZ,01,H6AZ01140,,Vic,McKerlie,"McKerlie, Vic",,DEM,"1,512",3.94%,,,,,,,,,
70,Arizona,AZ,01,,,,,,Party Votes:,DEM,"38,409",,,,,,,,,,
71,Arizona,AZ,01,H6AZ01165,,David,Schlosser,"Schlosser, David",,LBT,606,100.00%,,,"9,802",4.80%,,,,,
72,Arizona,AZ,01,,,,,,Party Votes:,LBT,606,,,,,,,,,,
73,Arizona,AZ,01,,,,,,District Votes:,,"76,679",,,,"204,139",,,,,,
74,Arizona,AZ,02,H4AZ04024,(I),Trent,Franks,"Franks, Trent",,REP,"51,386",100.00%,,,"135,150",58.62%,,,,,
75,Arizona,AZ,02,,,,,,Party Votes:,REP,"51,386",,,,,,,,,,
76,Arizona,AZ,02,H6AZ02155,,John,Thrasher,"Thrasher, John",,DEM,"11,521",46.74%,,,"89,671",38.89%,,,,,
77,Arizona,AZ,02,H0AZ03248,,Gene,Scharer,"Scharer, Gene",,DEM,"8,462",34.33%,,,,,,,,,
78,Arizona,AZ,02,H6AZ02163,,"Suchindran "Chat"""uchin",Chatterjee,"Chatterjee, Suchindran "Chat"""hatte",,DEM,"4,667",18.93%,,,,,,,,,
79,Arizona,AZ,02,,,,,,Party Votes:,DEM,"24,650",,,,,,,,,,
80,Arizona,AZ,02,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,LBT,494,100.00%,,,"5,734",2.49%,,,,,
81,Arizona,AZ,02,H6AZ00027,,William,Crum,"Crum, William",,W,,,,,5,0.00%,,,,,
82,Arizona,AZ,02,,,,,,Party Votes:,LBT,494,,,,,,,,,,
83,Arizona,AZ,02,,,,,,District Votes:,,"76,530",,,,"230,560",,,,,,
84,Arizona,AZ,03,H4AZ04016,(I),John,Shadegg,"Shadegg, John",,REP,"35,763",100.00%,,,"112,519",59.27%,,,,,
85,Arizona,AZ,03,,,,,,Party Votes:,REP,"35,763",,,,,,,,,,
86,Arizona,AZ,03,H6AZ03146,,Herb,Paine,"Paine, Herb",,DEM,"7,902",50.42%,,,"72,586",38.23%,,,,,
87,Arizona,AZ,03,H6AZ03153,,Don,Chilton,"Chilton, Don",,DEM,"7,759",49.51%,,,,,,,,,
88,Arizona,AZ,03,H6AZ03161,,Jim,McCoy,"McCoy, Jim",,W(DEM),12,0.08%,,,,,,,,,
89,Arizona,AZ,03,,,,,,Party Votes:,DEM,"15,673",,,,,,,,,,
90,Arizona,AZ,03,H4AZ04073,,Mark,Yannone,"Yannone, Mark",,LBT,322,100.00%,,,"4,744",2.50%,,,,,
91,Arizona,AZ,03,,,,,,Party Votes:,LBT,322,,,,,,,,,,
92,Arizona,AZ,03,,,,,,District Votes:,,"51,758",,,,"189,849",,,,,,
93,Arizona,AZ,04,H2AZ02055,(I),Ed,Pastor,"Pastor, Ed",,DEM,"14,833",100.00%,,,"56,464",72.52%,,,,,
94,Arizona,AZ,04,,,,,,Party Votes:,DEM,"14,833",,,,,,,,,,
95,Arizona,AZ,04,H2AZ04101,,Don,Karg,"Karg, Don",,REP,"7,175",100.00%,,,"18,627",23.92%,,,,,
96,Arizona,AZ,04,,,,,,Party Votes:,REP,"7,175",,,,,,,,,,
97,Arizona,AZ,04,H6AZ04169,,Ronald,Harders,"Harders, Ronald",,W(LBT)/LBT,12,100.00%,,,"2,770",3.56%,,,,,
98,Arizona,AZ,04,,,,,,Party Votes:,LBT,12,,,,,,,,,,
99,Arizona,AZ,04,,,,,,District Votes:,,"22,020",,,,"77,861",,,,,,
100,Arizona,AZ,05,H6AZ05067,,Harry,Mitchell,"Mitchell, Harry",,DEM,"20,852",100.00%,,,"101,838",50.41%,,,,,
101,Arizona,AZ,05,,,,,,Party Votes:,DEM,"20,852",,,,,,,,,,
102,Arizona,AZ,05,H4AZ06052,(I),J.D.,Hayworth,"Hayworth, J.D.",,REP,"38,275",100.00%,,,"93,815",46.44%,,,,,
103,Arizona,AZ,05,,,,,,Party Votes:,REP,"38,275",,,,,,,,,,
104,Arizona,AZ,05,H2AZ05124,,Warren,Severin,"Severin, Warren",,LBT,387,100.00%,,,"6,357",3.15%,,,,,
105,Arizona,AZ,05,,,,,,Party Votes:,LBT,387,,,,,,,,,,
106,Arizona,AZ,05,,,,,,District Votes:,,"59,514",,,,"202,010",,,,,,
107,Arizona,AZ,06,H0AZ01184,(I),Jeff,Flake,"Flake, Jeff",,REP,"43,199",100.00%,,,"152,201",74.80%,,,,,
108,Arizona,AZ,06,,,,,,Party Votes:,REP,"43,199",,,,,,,,,,
109,Arizona,AZ,06,H6AZ06040,,Jason M.,Blair,"Blair, Jason M.",,W(LBT)/LBT,19,100.00%,,,"51,285",25.20%,,,,,
110,Arizona,AZ,06,,,,,,Party Votes:,LBT,19,,,,,,,,,,
111,Arizona,AZ,06,,,,,,District Votes:,,"43,218",,,,"203,486",,,,,,
112,Arizona,AZ,07,H2AZ07070,(I),Raul,Grijalva,"Grijalva, Raul",,DEM,"26,604",100.00%,,,"80,354",61.09%,,,,,
113,Arizona,AZ,07,,,,,,Party Votes:,DEM,"26,604",,,,,,,,,,
114,Arizona,AZ,07,H6AZ07014,,Ron,Drake,"Drake, Ron",,REP,"10,022",60.42%,,,"46,498",35.35%,,,,,
115,Arizona,AZ,07,H4AZ02010,,Joseph,Sweeney,"Sweeney, Joseph",,REP,"6,565",39.58%,,,,,,,,,
116,Arizona,AZ,07,,,,,,Party Votes:,REP,"16,587",,,,,,,,,,
117,Arizona,AZ,07,H6AZ07022,,Joe,Cobb,"Cobb, Joe",,W(LBT)/LBT,13,100.00%,,,"4,673",3.55%,,,,,
118,Arizona,AZ,07,,,,,,Party Votes:,LBT,13,,,,,,,,,,
119,Arizona,AZ,07,,,,,,District Votes:,,"43,204",,,,"131,525",,,,,,
120,Arizona,AZ,08,H6AZ08038,,Gabrielle,Giffords,"Giffords, Gabrielle",,DEM,"33,375",54.35%,,,"137,655",54.25%,,,,,
121,Arizona,AZ,08,H6AZ08061,,Patty,Weiss,"Weiss, Patty",,DEM,"19,148",31.18%,,,,,,,,,
122,Arizona,AZ,08,H6AZ08020,,"Jeffrey Lynn "Jeff"""effre",Latas,"Latas, Jeffrey Lynn "Jeff"""atas,",,DEM,"3,687",6.00%,,,,,,,,,
123,Arizona,AZ,08,H6AZ08095,,Alex,Rodriguez,"Rodriguez, Alex",,DEM,"2,855",4.65%,,,,,,,,,
124,Arizona,AZ,08,H6AZ08111,,"William "Bill"""illia",Johnson,"Johnson, William "Bill"""ohnso",,DEM,"1,768",2.88%,,,,,,,,,
125,Arizona,AZ,08,H6AZ08046,,Francine,Shacter,"Shacter, Francine",,DEM,576,0.94%,,,,,,,,,
126,Arizona,AZ,08,,,,,,Party Votes:,DEM,"61,409",,,,,,,,,,
127,Arizona,AZ,08,H4AZ08017,,Randy,Graf,"Graf, Randy",,REP,"27,063",42.24%,,,"106,790",42.09%,,,,,
128,Arizona,AZ,08,H6AZ08087,,Steve,Huffman,"Huffman, Steve",,REP,"24,119",37.64%,,,,,,,,,
129,Arizona,AZ,08,H6AZ08079,,Mike,Hellon,"Hellon, Mike",,REP,"8,095",12.63%,,,,,,,,,
130,Arizona,AZ,08,H6AZ08129,,Frank,Antenori,"Antenori, Frank",,REP,"2,724",4.25%,,,,,,,,,
131,Arizona,AZ,08,H6AZ08012,,Mike (Michael T.),Jenkins,"Jenkins, Mike (Michael T.)",,REP,"2,075",3.24%,,,,,,,,,
132,Arizona,AZ,08,,,,,,Party Votes:,REP,"64,076",,,,,,,,,,
133,Arizona,AZ,08,H6AZ08137,,David F.,Nolan,"Nolan, David F.",,LBT,516,100.00%,,,"4,849",1.91%,,,,,
134,Arizona,AZ,08,,,,,,Party Votes:,LBT,516,,,,,,,,,,
135,Arizona,AZ,08,H6AZ08103,,Jay,Quick,"Quick, Jay",,IND,,,,,"4,408",1.74%,,,,,
136,Arizona,AZ,08,H6AZ08145,,Russ,Dove,"Dove, Russ",,W,,,,,7,0.00%,,,,,
137,Arizona,AZ,08,H6AZ08160,,Paul ,Price,"Price, Paul ",,W,,,,,7,0.00%,,,,,
138,Arizona,AZ,08,H6AZ08152,,"Leo F., Sr.",Kimminau,"Kimminau, Leo F., Sr.",,W,,,,,4,0.00%,,,,,
139,Arizona,AZ,08,,,,,,District Votes:,,"126,001",,,,"253,720",,,,,,
140,Arizona,AZ,H,,,,,,House Votes:,,"498,924",,,,"1,493,150",,,,,,
141,Arkansas,AR,01,H6AR01072,(I),Marion,Berry,"Berry, Marion",,DEM,Unopposed,,,,"127,577",69.26%,,,,,
142,Arkansas,AR,01,H6AR01106,,"Mickey "Stubby"""ickey """",Stumbaugh,"Stumbaugh, Mickey "Stubby"""tumbaug",,REP,Unopposed,,,,"56,611",30.74%,,,,,
143,Arkansas,AR,01,,,,,,District Votes:,,,,,,"184,188",,,,,,
144,Arkansas,AR,02,H6AR02203,(I),Vic,Snyder,"Snyder, Vic",,DEM,Unopposed,,,,"124,871",60.53%,,,,,
145,Arkansas,AR,02 ,H6AR02229,,Andy,Mayberry,"Mayberry, Andy",,REP,"12,460",77.30%,,,"81,432",39.47%,,,,,
146,Arkansas,AR,02,H6AR02237,,Tom,Formicola,"Formicola, Tom",,REP,"3,658",22.70%,,,,,,,,,
147,Arkansas,AR,02,,,,,,Party Votes:,REP,"16,118",,,,,,,,,,
148,Arkansas,AR,02,,,,,,District Votes:,,"16,118",,,,"206,303",,,,,,
149,Arkansas,AR,03,H2AR03176,(I),John,Boozman,"Boozman, John",,REP,Unopposed,,,,"125,039",62.23%,,,,,
150,Arkansas,AR,03,H6AR03086,,Woodrow,Anderson,"Anderson, Woodrow",,DEM,Unopposed,,,,"75,885",37.77%,,,,,
151,Arkansas,AR,03,,,,,,District Votes:,,,,,,"200,924",,,,,,
152,Arkansas,AR,04,H0AR04038,(I),Mike,Ross,"Ross, Mike",,DEM,Unopposed,,,,"128,236",74.73%,,,,,
153,Arkansas,AR,04,H6AR04068,,Joe,Ross,"Ross, Joe",,REP,Unopposed,,,,"43,360",25.27%,,,,,
154,Arkansas,AR,04,,,,,,District Votes:,,,,,,"171,596",,,,,,
155,Arkansas,AR,H,,,,,,House Votes:,,"16,118",,,,"763,011",,,,,,
156,California,CA,S,S0CA00199,(I),Dianne,Feinstein,"Feinstein, Dianne",,DEM,"2,176,888",86.96%,,,"5,076,289",59.43%,,,,,
157,California,CA,S,S6CA00527,,Colleen ,Fernald,"Fernald, Colleen ",,DEM,"199,180",7.96%,,,,,,,,,
158,California,CA,S,S6CA00519,,Martin Luther,Church,"Church, Martin Luther",,DEM,"127,301",5.09%,,,,,,,,,
159,California,CA,S,,,,,,Party Votes:,DEM,"2,503,369",,,,,,,,,,
160,California,CA,S,S6CA00501,,"Richard "Dick"""ichar",Mountjoy,"Mountjoy, Richard "Dick"""ountj",,REP,"1,560,472",100.00%,,,"2,990,822",35.02%,,,,,
161,California,CA,S,,,,,,Party Votes:,REP,"1,560,472",,,,,,,,,,
162,California,CA,S,S6CA00485,,Todd ,Chretien,"Chretien, Todd ",,GRE,"12,821",46.14%,,,"147,074",1.72%,,,,,
163,California,CA,S,S6CA00535,,Tian ,Harter,"Harter, Tian ",,GRE,"10,318",37.13%,,,,,,,,,
164,California,CA,S,S6CA00543,,Kent P.,Mesplay,"Mesplay, Kent P.",,GRE/W,"4,649",16.73%,,,160,0.00%,,,,,
165,California,CA,S,,,,,,Party Votes:,GRE,"27,788",,,,,,,,,,
166,California,CA,S,S6CA00550,,Michael S.,Metti,"Metti, Michael S.",,LBT,"16,742",100.00%,,,"133,851",1.57%,,,,,
167,California,CA,S,,,,,,Party Votes:,LBT,"16,742",,,,,,,,,,
168,California,CA,S,S4CA00357,,Marsha ,Feinland,"Feinland, Marsha ",,PAF,"4,109",100.00%,,,"117,764",1.38%,,,,,
169,California,CA,S,,,,,,Party Votes:,PAF,"4,109",,,,,,,,,,
170,California,CA,S,S4CA00332,,Don J.,Grundmann,"Grundmann, Don J.",,AIP,"30,787",100.00%,,,"75,350",0.88%,,,,,
171,California,CA,S,,,,,,Party Votes:,AIP,"30,787",,,,,,,,,,
172,California,CA,S,,,Jeffrey,Mackler,"Mackler, Jeffrey",,W,,,,,108,0.00%,,,,,
173,California,CA,S,,,Lea,Sherman,"Sherman, Lea",,W,,,,,47,0.00%,,,,,
174,California,CA,S,,,Connor,Vlakancic,"Vlakancic, Connor",,W,,,,,11,0.00%,,,,,
175,California,CA,S,,,,,,Senate Votes:,,"4,143,267",,,,"8,541,476",,,,,,
176,California,CA,01,H8CA01109,(I),Mike ,Thompson,"Thompson, Mike ",,DEM,"79,138",100.00%,,,"144,409",66.23%,,,,,
177,California,CA,01,,,,,,Party Votes:,DEM,"79,138",,,,,,,,,,
178,California,CA,01,H6CA01152,,John W.,Jones,"Jones, John W.",,REP,"41,953",100.00%,,,"63,194",28.98%,,,,,
179,California,CA,01,,,,,,Party Votes:,REP,"41,953",,,,,,,,,,
180,California,CA,01,H0CA01130,,Pamela,Elizondo,"Elizondo, Pamela ",,GRE,"2,952",100.00%,,,"6,899",3.16%,,,,,
181,California,CA,01,,,,,,Party Votes:,GRE,"2,952",,,,,,,,,,
182,California,CA,01,H6CA001160,,Timothy J.,Stock,"Stock, Timothy J.",,PAF,168,100.00%,,,"3,503",1.61%,,,,,
183,California,CA,01,,,,,,Party Votes:,PAF,168,,,,,,,,,,
184,California,CA,01,,,Carol,Wolman,"Wolman, Carol",,W,,,,,39,0.02%,,,,,
185,California,CA,01,,,,,,District Votes:,,"124,211",,,,"218,044",,,,,,
186,California,CA,02,H6CA02010,(I),Wally ,Herger,"Herger, Wally ",,REP,"69,669",100.00%,,,"134,911",64.18%,,,,,
187,California,CA,02,,,,,,Party Votes:,REP,"69,669",,,,,,,,,,
188,California,CA,02,H4CA02072,,A. J.,Sekhon,"Sekhon, A. J.",,DEM,"23,663",55.01%,,,"68,234",32.46%,,,,,
189,California,CA,02,H6CA02192,,Bill ,Falzett,"Falzett, Bill ",,DEM,"19,311",44.89%,,,,,,,,,
190,California,CA,02,H6CA02218,,Robert,Seals,"Seals, Robert",,W(DEM),43,0.10%,,,,,,,,,
191,California,CA,02,,,,,,Party Votes:,DEM,"43,017",,,,,,,,,,
192,California,CA,02,H6CA02200,,E. Kent,Hinesley,"Hinesley, E. Kent",,LBT,570,100.00%,,,"7,057",3.36%,,,,,
193,California,CA,02,,,,,,Party Votes:,LBT,570,,,,,,,,,,
194,California,CA,02,,,,,,District Votes:,,"113,256",,,,"210,202",,,,,,
195,California,CA,03,H6CA34112,(I),Dan,Lungren,"Lungren, Dan",,REP,"56,968",100.00%,,,"135,709",59.48%,,,,,
196,California,CA,03,,,,,,Party Votes:,REP,"56,968",,,,,,,,,,
197,California,CA,03,H6CA03091,,Bill,Durston,"Durston, Bill",,DEM,"42,980",100.00%,,,"86,318",37.83%,,,,,
198,California,CA,03,,,,,,Party Votes:,DEM,"42,980",,,,,,,,,,
199,California,CA,03,H8CA05134,,Douglas Arthur,Tuma,"Tuma, Douglas Arthur",,LBT,465,100.00%,,,"3,772",1.65%,,,,,
200,California,CA,03,,,,,,Party Votes:,LBT,465,,,,,,,,,,
201,California,CA,03,H6CA03109,,Michael,Roskey,"Roskey, Michael",,PAF,83,100.00%,,,"2,370",1.04%,,,,,
202,California,CA,03,,,,,,Party Votes:,PAF,83,,,,,,,,,,
203,California,CA,03,,,,,,District Votes:,,"100,496",,,,"228,169",,,,,,
204,California,CA,04,H0CA14042,(I),John T.,Doolittle,"Doolittle, John T.",,REP,"63,731",67.16%,,,"135,818",49.05%,,,,,
205,California,CA,04,H6CA04107,,J.M. (Mike),Holmes,"Holmes, J.M. (Mike)",,REP,"31,162",32.84%,,,,,,,,,
206,California,CA,04,,,,,,Party Votes:,REP,"94,893",,,,,,,,,,
207,California,CA,04,H6CA04123,,Charlie,Brown,"Brown, Charlie",,DEM,"26,241",46.29%,,,"126,999",45.87%,,,,,
208,California,CA,04,H6CA04115,,Lisa,Rea,"Rea, Lisa",,DEM,"19,038",33.59%,,,,,,,,,
209,California,CA,04,H6CA04149,,Michael ,Hamersley,"Hamersley, Michael ",,DEM,"11,405",20.12%,,,,,,,,,
210,California,CA,04,,,,,,Party Votes:,DEM,"56,684",,,,,,,,,,
211,California,CA,04,H6CA04131,,Dan ,Warren,"Warren, Dan ",,LBT,672,100.00%,,,"14,076",5.08%,,,,,
212,California,CA,04,,,,,,Party Votes:,LBT,672,,,,,,,,,,
213,California,CA,04,,,,,,District Votes:,,"152,249",,,,"276,893",,,,,,
214,California,CA,05,H6CA05195,(I),Doris O.,Matsui,"Matsui, Doris O.",,DEM,"52,951",100.00%,,,"105,676",70.80%,,,,,
215,California,CA,05,,,,,,Party Votes:,DEM,"52,951",,,,,,,,,,
216,California,CA,05,H6CA05328,,Claire,Yan,"Yan, Claire",,REP,"19,005",100.00%,,,"35,106",23.52%,,,,,
217,California,CA,05,,,,,,Party Votes:,REP,"19,005",,,,,,,,,,
218,California,CA,05,H6CA05310,,Jeff ,Kravitz,"Kravitz, Jeff ",,GRE,720,100.00%,,,"6,466",4.33%,,,,,
219,California,CA,05,,,,,,Party Votes:,GRE,720,,,,,,,,,,
220,California,CA,05,H4CA05240,,John C.,Reiger,"Reiger, John C.",,PAF,186,100.00%,,,"2,018",1.35%,,,,,
221,California,CA,05,,,,,,Party Votes:,PAF,186,,,,,,,,,,
222,California,CA,05,,,,,,District Votes:,,"72,862",,,,"149,266",,,,,,
223,California,CA,06,H2CA01045,(I),Lynn ,Woolsey,"Woolsey, Lynn ",,DEM,"72,058",66.16%,,,"173,190",70.22%,,,,,
224,California,CA,06,H2CA06101,,Joe,Nation,"Nation, Joe",,DEM,"36,845",33.83%,,,,,,,,,
225,California,CA,06,H6CA06193,,Mike ,Halliwell,"Halliwell, Mike ",,W(DEM),11,0.01%,,,,,,,,,
226,California,CA,06,,,,,,Party Votes:,DEM,"108,914",,,,,,,,,,
227,California,CA,06,H6CA06185,,Todd,Hooper,"Hooper, Todd",,REP,"19,448",57.38%,,,"64,405",26.11%,,,,,
228,California,CA,06,H6CA06193,,Mike ,Halliwell,"Halliwell, Mike ",,REP/W,"14,445",42.62%,,,5,0.00%,,,,,
229,California,CA,06,,,,,,Party Votes:,REP,"33,893",,,,,,,,,,
230,California,CA,06,H6CA06201,,Richard W.,Friesen,"Friesen, Richard W.",,LBT,659,100.00%,,,"9,028",3.66%,,,,,
231,California,CA,06,,,,,,Party Votes:,LBT,659,,,,,,,,,,
232,California,CA,06,,,,,,District Votes:,,"143,466",,,,"246,628",,,,,,
233,California,CA,07,H6CA07043,(I),George ,Miller,"Miller, George ",,DEM,"57,308",100.00%,,,"118,000",83.99%,,,,,
234,California,CA,07,,,,,,Party Votes:,DEM,"57,308",,,,,,,,,,
235,California,CA,07,H6CA07118,,Camden,McConnell,"McConnell, Camden",,LBT,333,100.00%,,,"22,486",16.01%,,,,,
236,California,CA,07,,,,,,Party Votes:,LBT,333,,,,,,,,,,
237,California,CA,07,,,,,,District Votes:,,"57,641",,,,"140,486",,,,,,
