1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
80,AZ,Arizona,1,H8AZ01104 ,(I),Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,"51,393",100.00%,,,"97,391",52.61%,,,,,W,
81,AZ,Arizona,1,n/a,,,,,Party Votes:,D,"51,393",,,,,,,,,,,
82,AZ,Arizona,1,H0AZ01325 ,,Andy,Tobin,"Tobin, Andy",,R,"18,814",35.85%,,,"87,723",47.39%,,,,,,
83,AZ,Arizona,1,H4AZ01145 ,,Gary,Kiehne,"Kiehne, Gary",,R,"18,407",35.07%,,,,,,,,,,
84,AZ,Arizona,1,H4AZ01152 ,,Adam,Kwasman,"Kwasman, Adam",,R,"15,266",29.09%,,,,,,,,,,
85,AZ,Arizona,1,n/a,,,,,Party Votes:,R,"52,487",,,,,,,,,,,
86,AZ,Arizona,1,n/a,,,,,District Votes:,,"103,880",,,,"185,114",,,,,,,
87,AZ,Arizona,2,H2AZ08102 ,,Martha ,McSally,"McSally, Martha ",,R,"45,492",69.36%,,,"109,714",50.01%,,,,,W,
88,AZ,Arizona,2,H4AZ02143 ,,Chuck,Wooten,"Wooten, Chuck",,R,"14,995",22.86%,,,,,,,,,,
89,AZ,Arizona,2,H4AZ02135 ,,Shelley,Kais,"Kais, Shelley",,R,"5,103",7.78%,,,,,,,,,,
90,AZ,Arizona,2,n/a,,,,,Party Votes:,R,"65,590",,,,,,,,,,,
91,AZ,Arizona,2,H2AZ08094,(I),Ron,Barber,"Barber, Ron",,D,"49,039",100.00%,,,"109,547",49.94%,,,,,,
92,AZ,Arizona,2,n/a,,,,,Party Votes:,D,"49,039",,,,,,,,,,,
93,AZ,Arizona,2,H4AZ02150,,Sampson U.,Ramirez,"Ramirez, Sampson U.",,W,,,,,56,0.03%,,,,,,
94,AZ,Arizona,2,H4AZ02168,,Sydney,Dudikoff,"Dudikoff, Sydney",,W,,,,,48,0.02%,,,,,,
95,AZ,Arizona,2,n/a,,,,,District Votes:,,"114,629",,,,"219,365",,,,,,,
96,AZ,Arizona,3,H2AZ07070 ,(I),Raul ,Grijalva,"Grijalva, Raul ",,D,"28,758",100.00%,,,"58,192",55.72%,,,,,W,
97,AZ,Arizona,3,n/a,,,,,Party Votes:,D,"28,758",,,,,,,,,,,
98,AZ,Arizona,3,H2AZ07146,,Gabby,Saucedo Mercer,"Saucedo Mercer, Gabby",,R,"18,823",100.00%,,,"46,185",44.23%,,,,,,
99,AZ,Arizona,3,n/a,,,,,Party Votes:,R,"18,823",,,,,,,,,,,
100,AZ,Arizona,3,H4AZ03075,,F.,Sˆnchez,"Sˆnchez, F.",,W,,,,,43,0.04%,,,,,,
101,AZ,Arizona,3,H4AZ03083 ,,Lee,Thompson,"Thompson, Lee",,W,,,,,8,0.01%,,,,,,
