STATE ABBREVIATION,DISTRICT,INCUMBENT INDICATOR,NAME,PARTY,PRIMARY RESULTS,RUNOFF RESULTS,GENERAL ,COMBINED PARTIES
CA,23,(I),"Gallegly, Elton ",R,"92,010",,"119,479",
CA,23,,"Savitch, Cary ",REF,"4,306",,"6,473",
CA,24,(I),"Sherman, Brad ",D,"99,236",,"155,398",
CA,24,,"Kennedy, John M.",W(D),2,,,
CA,24,,"Ros, Juan Carlos ",LBT,"4,981",,"6,966",
CA,24,,"Cuddehe, Michael ",NL,"1,884",,"2,911",
CA,24,,"Doyle, Jerry ",R,"43,762",,"70,169",
CA,25,,"Gold, Sid ",D,"39,748",,"73,921",
CA,25,,"Acker, Bruce R. ",LBT,"4,103",,"7,219",
CA,25,,"Small, Mews ",NL,"1,896",,"3,010",
CA,25,(I),"McKeon, Howard P. ""Buck"" ",R,"92,342",,"138,628",
CA,25,,"Meyers, Hal Brent ",R,"7,842",,,
CA,26,(I),"Berman, Howard L. ",D,"60,896",,"96,500",
CA,26,,"Farley, Bill ",LBT,"8,190",,"13,052",
CA,26,,"Cossak, David L. ",NL,"2,887",,"5,229",
CA,26,,"Edwards, Robert",W,,,5,
CA,27,,"Schiff, Adam ",D,"70,449",,"113,708",
CA,27,,"Brown, Ted ",LBT,"2,938",,"3,675",
CA,27,,"Hospodar, Miriam R. ",NL,"2,799",,"3,873",
CA,27,(I),"Rogan, James E. ",R,"68,179",,"94,518",
CA,28,,"Haytas, Joe ""Jay"" ",AIP,"1,759",,"1,932",
CA,28,,"Nelson, Janice M. ",D,"47,971",,"81,804",
CA,28,,"Weissbuch, Randall G. ",LBT,"2,327",,"2,823",
CA,28,,"Allison, Lawrence ",NL,"1,358",,"2,083",
CA,28,(I),"Dreier, David ",R,"88,837",,"116,557",
CA,29,(I),"Waxman, Henry A. ",D,"114,147",,"180,295",
CA,29,,"Anderson, Jack ",LBT,"5,419",,"7,944",
CA,29,,"Currivan, Bruce ",NL,"2,135",,"4,178",
CA,29,,"Scileppi, Jim ",R,"27,870",,"45,784",
CA,30,(I),"Becerra, Xavier ",D,"53,145",,"83,223",
CA,30,,"Heath, Jason E. ",LBT,"1,922",,"2,858",
CA,30,,"Hearne, Gary D. ",NL,"1,718",,"2,051",
CA,30,,"Goss, Tony ",R,"6,919",,"11,788",
CA,31,(I),"Martinez, Matthew G. ""Marty"" ",D,"22,241",,,
CA,31,,"Solis, Hilda L. ",D,"48,531",,"89,600",
CA,31,,"Lieberg-Wong, Krista ",GRN,"3,296",,"10,294",
CA,31,,"McGuire, Michael ",LBT,"2,277",,"7,138",
CA,31,,"Griffin, Richard D. ",NL,"1,630",,"5,882",
CA,31,,"Munoz, Larry",W(R),88,,,
CA,32,(I),"Dixon, Julian C. ",D,"84,307",,"137,447",
CA,32,,"Smith, Elisha Smitty ",D,"6,351",,,
CA,32,,"Weber, Bob ",LBT,"2,038",,"3,875",
CA,32,,"Jibri, Rashied ",NL,"1,644",,"3,281",
CA,32,,"Williamson, Kathy ",R,"13,040",,"19,924",
CA,33,(I),"Roybal-Allard, Lucille ",D,"37,618",,"60,510",
CA,33,,"Craddock, Nathan Thomas ",LBT,810,,"1,601",
CA,33,,"Harpur, William ",NL,655,,"1,200",
CA,33,,"Miller, Wayne ",R,"5,364",,"8,260",
CA,34,(I),"Napolitano, Grace Flores ",D,"68,631",,"105,980",
CA,34,,"Simon, Julia F. ",NL,"6,053",,"9,262",
CA,34,,"Canales, Robert Arthur ",R,"24,140",,"33,445",
CA,34,,"Brantuk, John W.",W,,,36,
CA,35,,"Mego, Gordon Michael ",AIP,"1,247",,"1,911",
CA,35,(I),"Waters, Maxine ",D,"64,176",,"100,569",
CA,35,,"Dunstan, Rick ",NL,861,,"1,153",
CA,35,,"McGill, Carl ",R,"8,898",,"12,582",
CA,36,,"Cavuoto, James C. ",D,"6,423",,,
CA,36,,"Harman, Jane ",D,"63,013",,"115,651",
CA,36,,"Rastegar, Farshad ",D,"2,508",,,
CA,36,,"Sherman, Daniel R. ",LBT,"2,635",,"6,073",
CA,36,,"Ornati, Matt ",NL,868,,"2,264",
CA,36,(I),"Kuykendall, Steven T. ",R,"66,520",,"111,199",
CA,36,,"Pegram, Robert T. (Bob) ",R,"12,653",,,
